	 URL	 Mobile_Accessibility	 Desktop_Accessibility			
	https://www.phac-aspc.gc.ca/	93	93			
	https://m.phac.gc.ca/	 	 			
	https://id.bac-lac.gc.ca/	 	 			
	https://webarchive.bac-lac.gc.ca/	 	 			
	https://central.bac-lac.gc.ca/	 	 			
	https://transcription.bac-lac.gc.ca/	 	 			
	https://www.bac-lac.gc.ca/Pages/default.aspx	100	100			
	https://2www.bac-lac.gc.ca/	 	 			
	https://www.canada.ca/en/indigenous-northern-affairs.html	100	100			
	https://pse5-esd5.ainc-inac.gc.ca/	 	 			
	https://www.canada.ca/fr/affaires-autochtones-nord.html	100	100			
	https://virtua.aadnc-aandc.gc.ca/	62	62			
	https://ns.inac.gc.ca/	 	 			
	https://cirnac.gc.ca/	100	100			
	https://www.rcaanc-cirnac.gc.ca/	100	100			
	https://www.opoc-boac.gc.ca/	 	 			
	https://ahrc-pac.gc.ca/	 	 			
	https://www.cosepac.gc.ca/	 	 			
	https://www.cart-crac.gc.ca/	100	100			
	https://www.fintrac-canafe.gc.ca/	100	100			
	https://griffin8.fintrac.gc.ca/	 	 			
	https://www.fintrac-canafe.gc.ca/	100	100			
	https://isc-sac.gc.ca/	100	100			
	https://ciet-itac.gc.ca/	 	 			
	https://portal.itac.gc.ca/	 	 			
	https://www.itac.gc.ca/	 	 			
	https://vac.gc.ca/	 	 			
	https://acc-vac.gc.ca/	 	 			
	https://cb-bc.gc.ca/	 	 			
	https://ecbc.gc.ca/	 	 			
	https://secb-ecbc.gc.ca/	 	 			
	https://ccperb-cceebc.gc.ca/	100	100			
	https://hsmbc.gc.ca/	 	 			
	https://1759.ccbn-nbc.gc.ca/	94	94			
	https://bataille.ccbn-nbc.gc.ca/	 	 			
	https://transactions.ccbn-nbc.gc.ca/	 	 			
	https://intranet.ccbn-nbc.gc.ca/	 	 			
	https://www.ccbn-nbc.gc.ca/	70	70			
	https://mva-mda.vac-acc.gc.ca/	100	100			
	https://bhsol-pssd.vac-acc.gc.ca/	 	 			
